date,label,GDP,GDP_diff,UNRATE,CPI,CPI_diff,INDPRO,INDPRO_diff,DFF,DFF_diff,DGS10,DGS10_diff,DGS2,DGS2_diff,T10Y2Y,VIX,DTB3,DTB3_diff,NEWS_SENTIMENT,GDP_missing,GDP_diff_missing,UNRATE_missing,CPI_missing,CPI_diff_missing,INDPRO_missing,INDPRO_diff_missing,DFF_missing,DFF_diff_missing,DGS10_missing,DGS10_diff_missing,DGS2_missing,DGS2_diff_missing,T10Y2Y_missing,VIX_missing,DTB3_missing,DTB3_diff_missing,NEWS_SENTIMENT_missing
2007-07-01,0,14564.117,162.03499999999983,4.666666666666667,207.939,1.3079999999999927,101.8732,0.1554333333333346,5.074347826086957,-0.1780697563306263,4.738412698412698,-0.1076810515873019,4.3907936507936505,-0.4129563492063495,0.3476190476190476,21.589206349206343,4.314920634920634,-0.4225793650793656,-0.0501497981123342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-01,1,14715.058,150.9410000000007,4.8,210.4896666666667,2.5506666666667,102.17546666666668,0.3022666666666822,4.495652173913044,-0.5786956521739128,4.266612903225807,-0.4717997951868904,3.4896774193548388,-0.9011162314388116,0.7769354838709678,22.02984375,3.405806451612903,-0.909114183307731,-0.1156528719255457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,1,14706.538,-8.520000000000437,5.0,212.76966666666667,2.2799999999999727,101.87406666666668,-0.301400000000001,3.1814285714285715,-1.3142236024844722,3.6652459016393446,-0.6013670015864627,2.0293442622950817,-1.460333157059757,1.6359016393442625,26.120163934426227,2.058360655737705,-1.3474457958751982,-0.2564248393525134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,1,14865.701,159.16299999999865,5.333333333333333,215.5376666666667,2.768000000000029,100.39313333333332,-1.480933333333354,2.0847252747252747,-1.0967032967032968,3.8815625,0.2163165983606556,2.41640625,0.3870619877049184,1.46515625,20.67296875,1.62265625,-0.4357044057377051,-0.2611813623826582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,1,14898.999,33.298000000000684,6.0,218.861,3.323333333333295,97.1922,-3.2009333333333245,1.9406521739130431,-0.1440731008122313,3.8621875,-0.0193750000000001,2.36,-0.0564062500000002,1.5021875,25.0734375,1.49609375,-0.1265624999999999,-0.339768654950287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,1,14608.209,-290.78999999999905,6.866666666666667,213.84866666666667,-5.012333333333316,93.0097,-4.18249999999999,0.5053260869565218,-1.4353260869565214,3.234677419354839,-0.6275100806451612,1.215483870967742,-1.144516129032258,2.0191935483870966,58.6046875,0.3070967741935483,-1.1889969758064516,-0.4194065044107644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,1,14430.902,-177.3070000000007,8.266666666666667,212.37766666666667,-1.4710000000000036,87.75126666666667,-5.258433333333343,0.1844444444444444,-0.3208816425120773,2.7362295081967214,-0.4984479111581175,0.9042622950819672,-0.3112215758857748,1.8319672131147544,45.0,0.2118032786885245,-0.0952934955050237,-0.3406413187583287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,1,14381.236,-49.66599999999926,9.3,213.507,1.1293333333333069,85.24893333333334,-2.5023333333333255,0.178021978021978,-0.0064224664224664,3.320793650793651,0.5845641425969297,1.0176190476190476,0.1133567525370804,2.303174603174603,33.01571428571428,0.1703174603174603,-0.0414858183710642,-0.2838493307213207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,0,14448.882,67.64599999999882,9.633333333333333,215.34399999999997,1.836999999999989,86.58386666666667,1.3349333333333249,0.1543478260869565,-0.0236741519350215,3.5178125,0.1970188492063487,1.03,0.0123809523809523,2.4878125,25.48625,0.15984375,-0.0104737103174603,-0.2202908396720886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,0,14651.249,202.3670000000002,9.933333333333334,217.03,1.6860000000000357,88.01443333333333,1.430566666666664,0.1183695652173913,-0.0359782608695652,3.4640322580645164,-0.0537802419354833,0.8779032258064516,-0.1520967741935484,2.586129032258065,23.071875,0.0604838709677419,-0.099359879032258,0.0019092868150556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0,14764.61,113.3610000000008,9.833333333333334,217.374,0.3440000000000225,89.7711,1.7566666666666748,0.1338888888888889,0.0155193236714975,3.717868852459016,0.2538365943945,0.917704918032787,0.0398016922263353,2.8001639344262297,20.149672131147543,0.1098360655737705,0.0493521946060285,-0.0469023323462655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,14980.193,215.58299999999872,9.633333333333333,217.29733333333337,-0.0766666666666822,91.47163333333332,1.7005333333333257,0.1919780219780219,0.058089133089133,3.4925,-0.2253688524590162,0.873125,-0.0445799180327869,2.619375,26.391428571428573,0.14828125,0.0384451844262295,-0.1714015364142232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,15141.607,161.41400000000067,9.466666666666669,217.93433333333337,0.6370000000000005,92.65876666666666,1.1871333333333354,0.1888043478260869,-0.003173674151935,2.78453125,-0.70796875,0.53875,-0.3343750000000001,2.24578125,24.28359375,0.15484375,0.0065624999999999,-0.1505175330068754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,15309.474,167.8670000000002,9.5,219.699,1.764666666666642,93.04663333333332,0.3878666666666674,0.1895652173913043,0.0007608695652173,2.8783870967741936,0.0938558467741934,0.4870967741935483,-0.0516532258064516,2.391290322580645,19.3184375,0.139516129032258,-0.0153276209677419,-0.0959156915879524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,15351.448,41.97400000000016,9.033333333333331,222.04366666666667,2.344666666666683,93.5568,0.5101666666666631,0.1545555555555555,-0.0350096618357488,3.4574193548387098,0.5790322580645162,0.6937096774193549,0.2066129032258065,2.763709677419355,18.614838709677414,0.1267741935483871,-0.0127419354838709,-0.0438490510892329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
